paper_name,paper_date,base_model,method,resolution,additional
ConvLSTM,Sep-15,ConvLSTM,deterministic,high,
TrajGRU,Jun-17,ConvLSTM,deterministic,high,
short_term-CNN,Nov-17,CNN,deterministic,high,
U-Net,Dec-19,U-Net ,deterministic ,high,
Star-Bridge-ConvLSTM,Jan-20,ConvLSTM,deterministic,high,
MetNet1,Mar-20,ConvLSTM,deterministic,high,physics
MGCPN,Mar-20,GAN-ConvLSTM,probabilistic,medium,
RainNet-1,Jun-20,U-Net ,deterministic,high,
PredRNN++,Oct-20,PredRNN++,deterministic,high,
SmaAt-UNet ,Jan-21,Unet,deterministic,high,
Nowcasting-Nets,Aug-21,ConvLSTM,deterministic,medium,
DGMR,Sep-21,GAN,probabilistic,high,physics
DeepRaNE ,Mar-22,CNN ,deterministic ,high, 
EarthFormer,Jul-22,Transformer,deterministic,high,
Rad-cGAN,Aug-22,GAN,probabilistic,high,
MetNet2,Sep-22,ConvLSTM,deterministic,high,physics
ASOC ,Oct-22,PredRNN++ ,deterministic ,high, 
MCVD ,Oct-22,Diffusion,probabilistic,high,
UA-GAN,Oct-22,GAN,probabilistic,high,
CLGAN,Nov-22,GAN,probabilistic,high,
WF-UNet,Feb-23,UNet,deterministic,high,physics
PredSF,Feb-23,ConvLSTM,deterministic,medium,physics
SimVP ,Mar-23,CNN ,deterministic ,high,
LDCast,Apr-23,Diffusion,probabilistic,high,
MM-RNN ,Apr-23,RNN ,deterministic ,high, 
MFF ,Jun-23,CNN ,deterministic ,high, 
LSTMAtU-Net ,Jun-23,LSTM-Attention,deterministic,high,
NowcastNet,Jul-23,GAN,probabilistic,high,physics
STGM ,Aug-23,GAN ,probabilistic,high,physics 
PreDiff,Sep-23,Diffusion,probabilistic,high,
GED,Sep-23,Diffusion,probabilistic,medium,
Rain-AI,Nov-23,UNet,deterministic,medium,
MetNet3,Nov-23,ConvLSTM,deterministic,high,physics
PAUNet ,Nov-23,U-Net ,deterministic ,medium, 
DGMR+atmospheric,Nov-23,GAN,probabilistic,high,physics
transformer-diffusion,Jan-24,diffusion,probabilistic,high,
U-Net-OFlow,Jan-24,U-Net ,deterministic,high,
CasCast,Feb-24,Diffusion,probabilistic,high,physics
CNN-atmospheric,Feb-24,CNN,deterministic,high,physics
GENESIS,Feb-24,Unet + ConvLSTM,deterministic,medium,physics
reliable-diffusion,Feb-24,Diffusion,probabilistic,high,
DB-RNN ,Feb-24,RNN ,deterministic ,high,
DiffCast,Mar-24,Diffusion,probabilistic,high,physics
U-Net++,Mar-24,U-Net ,deterministic,high,
PID-GAN,Jun-24,GAN,probabilistic,high,physics
TISE-LSTM,Jul-24,Transformer,deterministic,high,
cGAN-Attention,Aug-24,GAN,probabilistic,high,
ClusterCast,Apr-24,GAN,probabilistic,high,
